white_player,black_player,white_score,black_score
gukesh,hikaru,0.5,0.5
gukesh,ian,0.5,0.5
gukesh,fabiano,0.5,0.5
gukesh,praggnanandhaa,0.5,0.5
gukesh,vidit,0.5,0.5
gukesh,alireza,1,0
gukesh,nijat,1,0
hikaru,gukesh,0.5,0.5
hikaru,ian,0.5,0.5
hikaru,fabiano,1,0
hikaru,praggnanandhaa,0.5,0.5
hikaru,vidit,0,1
hikaru,alireza,1,0
hikaru,nijat,1,0
ian,gukesh,0.5,0.5
ian,hikaru,0.5,0.5
ian,fabiano,0.5,0.5
ian,praggnanandhaa,0.5,0.5
ian,vidit,1,0
ian,alireza,1,0
ian,nijat,0.5,0.5
fabiano,gukesh,0.5,0.5
fabiano,hikaru,0.5,0.5
fabiano,ian,0.5,0.5
fabiano,praggnanandhaa,0.5,0.5
fabiano,vidit,1,0
fabiano,alireza,1,0
fabiano,nijat,1,0
praggnanandhaa,gukesh,0,1
praggnanandhaa,hikaru,0,1
praggnanandhaa,ian,0.5,0.5
praggnanandhaa,fabiano,0,1
praggnanandhaa,vidit,0.5,0.5
praggnanandhaa,alireza,0.5,0.5
praggnanandhaa,nijat,1,0
vidit,gukesh,0,1
vidit,hikaru,1,0
vidit,ian,0,1
vidit,fabiano,0.5,0.5
vidit,praggnanandhaa,0,1
vidit,alireza,1,0
vidit,nijat,0.5,0.5
alireza,gukesh,1,0
alireza,hikaru,0,1
alireza,ian,0.5,0.5
alireza,fabiano,0.5,0.5
alireza,praggnanandhaa,0.5,0.5
alireza,vidit,0.5,0.5
alireza,nijat,1,0
nijat,gukesh,0,1
nijat,hikaru,0.5,0.5
nijat,ian,0.5,0.5
nijat,fabiano,0,1
nijat,praggnanandhaa,0,1
nijat,vidit,0.5,0.5
nijat,alireza,0.5,0.5
